NAMESPACE        NAME     READY   STATUS    RESTARTS   AGE
exam-davron      nginx1   1/1     Running   0          17h
exam-davron      nginx2   1/1     Running   0          17h
exam-doston      nginx1   1/1     Running   0          13m
exam-doston      nginx2   1/1     Running   0          13m
exam-kodirovr    nginx1   1/1     Running   0          17h
exam-kodirovr    nginx2   1/1     Running   0          17h
exam-maxmudov    nginx1   1/1     Running   0          17h
exam-maxmudov    nginx2   1/1     Running   0          17h
exam-xotam       nginx1   1/1     Running   0          17h
exam-xotam       nginx2   1/1     Running   0          17h
exam-zvakhobov   nginx1   1/1     Running   0          16h
exam-zvakhobov   nginx2   1/1     Running   0          16h
f-nabiyev        nginx1   1/1     Running   0          109m
f-nabiyev        nginx2   1/1     Running   0          109m
